STATISTICS.packets_TO_BS3 STATISTICS.DEAD3 STATISTICS.ALLIVE3
24443.00 24462.00 24473.00
24492.00 24509.00 24522.00
24527.00 24544.00 24559.00
24568.00 24591.00 24600.00
24615.00 24626.00 24637.00
24654.00 24671.00 24686.00
24705.00 24714.00 24723.00
24736.00 24755.00 24774.00
24785.00 24790.00 24795.00
24802.00 24817.00 24828.00
24849.00 24866.00 24873.00
24884.00 24903.00 24920.00
24933.00 24942.00 24949.00
24958.00 24969.00 24982.00
24987.00 24998.00 25013.00
25032.00 25045.00 25062.00
25067.00 25072.00 25075.00
25094.00 25103.00 25116.00
25129.00 25136.00 25143.00
25154.00 25161.00 25174.00
25187.00 25198.00 25207.00
25216.00 25223.00 25232.00
25245.00 25258.00 25265.00
25278.00 25291.00 25296.00
25305.00 25316.00 25323.00
25334.00 25339.00 25352.00
25363.00 25372.00 25379.00
25394.00 25405.00 25418.00
25425.00 25432.00 25439.00
25448.00 25455.00 25464.00
25479.00 25484.00 25495.00
25504.00 25515.00 25522.00
25527.00 25534.00 25541.00
25550.00 25559.00 25568.00
25573.00 25580.00 25587.00
25594.00 25601.00 25606.00
25617.00 25628.00 25637.00
25646.00 25649.00 25658.00
25669.00 25672.00 25681.00
25688.00 25705.00 25708.00
25715.00 25720.00 25729.00
25734.00 25743.00 25748.00
25751.00 25764.00 25775.00
25780.00 25781.00 25788.00
25797.00 25800.00 25813.00
25826.00 25829.00 25832.00
25835.00 25844.00 25851.00
25856.00 25861.00 25866.00
25873.00 25878.00 25887.00
25888.00 25897.00 25904.00
25909.00 25918.00 25925.00
25926.00 25929.00 25934.00
25939.00 25948.00 25957.00
25968.00 25975.00 25978.00
25987.00 25996.00 26001.00
26004.00 26015.00 26020.00
26027.00 26028.00 26029.00
26036.00 26039.00 26040.00
26041.00 26052.00 26069.00
26076.00 26083.00 26088.00
26089.00 26094.00 26099.00
26108.00 26115.00 26122.00
26123.00 26126.00 26127.00
26134.00 26141.00 26146.00
26155.00 26158.00 26163.00
26172.00 26175.00 26180.00
26183.00 26188.00 26189.00
26194.00 26203.00 26212.00
26215.00 26220.00 26227.00
26230.00 26231.00 26238.00
26241.00 26242.00 26249.00
26252.00 26255.00 26258.00
26263.00 26270.00 26277.00
26282.00 26283.00 26284.00
26287.00 26292.00 26295.00
26296.00 26299.00 26302.00
26305.00 26310.00 26315.00
26324.00 26327.00 26334.00
26337.00 26342.00 26343.00
26346.00 26349.00 26354.00
26359.00 26364.00 26367.00
26370.00 26373.00 26378.00
26383.00 26388.00 26393.00
26394.00 26399.00 26404.00
26405.00 26408.00 26413.00
26416.00 26421.00 26424.00
26427.00 26430.00 26437.00
26444.00 26445.00 26448.00
26451.00 26454.00 26461.00
26462.00 26465.00 26472.00
26481.00 26484.00 26485.00
26488.00 26491.00 26492.00
26497.00 26498.00 26507.00
26512.00 26515.00 26522.00
26525.00 26526.00 26531.00
26532.00 26535.00 26538.00
26545.00 26546.00 26553.00
26554.00 26555.00 26558.00
26561.00 26562.00 26567.00
